지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
185,고산,2018,16.1,-2.7,20180124,35.5,20180802,13.6,19.2
185,고산,2019,16.2,1.3,20190209,32.9,20190808,13.7,19.2
185,고산,2020,16,-1.4,20201230,32.9,20200822,13.6,19
188,성산,2017,15.9,-3.8,20170213,34.3,20170721,12.3,19.8
188,성산,2018,15.7,-3.8,20180205,34.7,20180810,12.3,19.3
188,성산,2019,16.1,-.7,20190202,32.5,20190814,12.5,19.8
188,성산,2020,16,-2.8,20201230,33.8,20200819,12.6,19.5
189,서귀포,2017,17,-1.6,20170210,35.8,20170725,14,20.3
189,서귀포,2018,16.7,-3,20180112,33.5,20180802,13.9,20
189,서귀포,2019,17.3,2,20190117,32.2,20190806,14.4,20.5
189,서귀포,2020,16.8,-2.1,20201230,31.3,20200825,13.9,19.9
192,진주,2017,13.5,-12,20171214,37.1,20170807,7.5,20.3
192,진주,2018,13.4,-14.3,20180207,37.9,20180727,7.7,19.8
192,진주,2019,13.9,-10.1,20190127,35.7,20190805,8.3,20.5
192,진주,2020,13.7,-9.8,20201217,35.7,20200820,8.3,20
201,강화,2017,11.5,-14.3,20170124,33.4,20170805,6.6,16.5
201,강화,2018,11.3,-19,20180127,35.4,20180815,6.5,16.4
201,강화,2019,12.2,-12.6,20190116,35,20190719,7.1,17.4
201,강화,2020,11.9,-13.6,20201231,34.2,20200826,7.3,16.6
202,양평,2017,12.2,-17,20170124,36.3,20170805,6.8,18.1
202,양평,2018,12.1,-19.9,20180127,40.1,20180801,6.8,18.2
202,양평,2019,12.7,-13.6,20190103,36.4,20190805,7.4,18.8
202,양평,2020,12.5,-14.7,20201217,35,20200622,7.7,18.1
203,이천,2017,11.7,-17.4,20170124,37.1,20170805,5.9,18.2
203,이천,2018,11.7,-19.2,20180127,39.4,20180801,6,18.3
203,이천,2019,12.3,-14.6,20190109,37.3,20190805,6.6,18.9
203,이천,2020,12.5,-15.5,20201231,34.8,20200825,7.3,18.4
211,인제,2017,10.5,-17.3,20171213,35.8,20170805,5.2,16.8
211,인제,2018,10.1,-21.3,20180125,37.7,20180801,4.8,16.5
211,인제,2019,11.2,-15.4,20190103,36,20190805,5.8,17.6
211,인제,2020,11.2,-16.7,20201217,35.1,20200622,6.2,17.3
212,홍천,2017,11.3,-18.2,20170124,37.2,20170805,5.7,18
212,홍천,2018,11.2,-21.7,20180126,41,20180801,5.6,18
212,홍천,2019,12.1,-14.9,20190103,37.1,20190810,6.6,19
212,홍천,2020,11.6,-18.2,20201216,35.7,20200622,6.3,18
216,태백,2017,9,-16.3,20170125,33.1,20170713,3.9,14.5
216,태백,2018,9.3,-20.1,20180127,35.7,20180721,4.2,14.8
216,태백,2019,9.9,-14.6,20190109,33,20190802,4.8,15.6
216,태백,2020,9.6,-17.1,20200206,34.9,20200609,4.9,15
217,정선군,2017,10.8,-17.2,20170124,35.5,20170806,5.5,17.3
217,정선군,2018,10.6,-20.1,20180127,39.6,20180803,5.4,17.2
217,정선군,2019,11.2,-13.8,20190109,35.6,20190802,5.9,17.9
217,정선군,2020,11,-17.8,20201217,36,20200609,6,17.4
221,제천,2017,10.5,-18.9,20170124,36.2,20170805,4.3,17.2
221,제천,2018,10.5,-21.3,20180127,39.4,20180801,4.5,17.4
221,제천,2019,11.1,-16.1,20190109,36.5,20190805,4.9,18.2
221,제천,2020,11,-20.3,20201217,33.9,20200609,5.3,17.1
226,보은,2017,11.5,-16.9,20170125,35.8,20170805,5.5,18.4
226,보은,2018,11.6,-19.7,20180111,38.2,20180815,5.7,18.5
226,보은,2019,12.2,-13.1,20190127,35.8,20190804,6.1,19
226,보은,2020,11.7,-17.3,20201231,33.5,20200825,6.3,18
232,천안,2017,11.8,-15.9,20170124,35.2,20170805,6.1,18
232,천안,2018,11.8,-20.6,20180112,37.8,20180815,6.2,18
232,천안,2019,12,-13.2,20190109,34.3,20190803,6.3,18.1
232,천안,2020,12.2,-16,20201231,34.1,20200825,7,18
235,보령,2017,12.8,-10.4,20170115,35.2,20170805,8.5,17.5
235,보령,2018,13,-14.8,20180127,36.4,20180816,8.8,17.6
235,보령,2019,13.2,-8,20190116,35.5,20190810,8.9,18.1
235,보령,2020,13.1,-8.7,20201231,34.5,20200825,9.1,17.7
236,부여,2017,12.5,-13.3,20170124,36.5,20170805,7,18.9
236,부여,2018,12.7,-16.6,20180127,39.3,20180815,7.3,19.1
236,부여,2019,12.9,-10.9,20190127,36.4,20190805,7.4,19.5
236,부여,2020,12.8,-12.4,20201231,34.8,20200825,7.7,18.9
238,금산,2017,11.8,-15,20170124,36,20170806,6,18.5
238,금산,2018,12,-17.5,20180111,38.8,20180802,6.2,18.6
238,금산,2019,12.4,-12.5,20190127,36.1,20190804,6.6,19.2
238,금산,2020,12.5,-15.4,20201231,34.4,20200609,7.2,18.7
239,세종,2019,,-9.4,20191206,35.5,20190805,,
239,세종,2020,13.1,-13.8,20201231,34.8,20200825,8.5,18.5
243,부안,2017,13.2,-9.7,20171214,35.8,20170805,8.6,18.7
243,부안,2018,13.3,-14.6,20180207,38,20180801,8.8,18.8
243,부안,2019,13.7,-8.2,20190127,35.8,20190810,9.1,19.1
243,부안,2020,13.5,-11.1,20201231,34.5,20200825,9.4,18.5
